"Timestamp","PM2.5 [ug/m3]","PM10[ug/m3]","Ozone [ppb]","Carbon_Monoxide [ppb]","Temperature [°C]","Relative_Humidity [%]"
"01/02/2022 16:00:00","56.8333333333333","58.75","24.5","392.916666666667","23.7966666666667","16.8941666666667"
"01/02/2022 17:00:00","31.3636363636364","32.9090909090909","39.8181818181818","391.727272727273","20.9581818181818","22.2509090909091"
"01/02/2022 18:00:00","25.2","26.7","46.9","407.6","18.886","30.007"
"01/02/2022 19:00:00","28.125","30.125","41.625","413.125","17.2325","35.22125"
"01/02/2022 20:00:00","26.5","28.5","34.5833333333333","392","15.9625","38.3583333333333"
"01/02/2022 21:00:00","26.8333333333333","28.8333333333333","30.8333333333333","384.75","15.0825","40.3825"
"01/02/2022 22:00:00","27.4166666666667","29.4166666666667","30.75","380.666666666667","14.4108333333333","42.8083333333333"
"01/02/2022 23:00:00","32.8333333333333","34.8333333333333","28.0833333333333","390.083333333333","13.9941666666667","43.4058333333333"
"02/02/2022 0:00:00","34.5833333333333","36.5833333333333","27.75","396","12.6658333333333","48.5741666666667"
"02/02/2022 1:00:00","20.5833333333333","21.8333333333333","28.25","401.833333333333","11.7025","50.3008333333333"
"02/02/2022 2:00:00","18.75","19.9166666666667","24.9166666666667","382.916666666667","11.8125","49.9383333333333"
"02/02/2022 3:00:00","24.0833333333333","25.6666666666667","25.3333333333333","419.5","10.955","52.91"
"02/02/2022 4:00:00","25.8333333333333","27.5833333333333","26.8333333333333","415.416666666667","10.6083333333333","53.385"
"02/02/2022 5:00:00","19.1818181818182","20.6363636363636","29.8181818181818","466.909090909091","10.3454545454545","54.0754545454545"
"02/02/2022 6:00:00","13.3333333333333","14.3333333333333","27.5833333333333","528.833333333333","10.1333333333333","55.2308333333333"
"02/02/2022 7:00:00","15.6666666666667","16.6666666666667","29.2222222222222","601.444444444444","10.2888888888889","56.0433333333333"
"02/02/2022 8:00:00","11.3333333333333","12.3333333333333","25","461.333333333333","13.2","48.7566666666667"
"02/02/2022 9:00:00","14","15","25.6666666666667","453","15.265","43.2766666666667"
"02/02/2022 10:00:00","12","13","31.5","436.6","17.43","37.03"
"02/02/2022 11:00:00","15.5","16.6","24.8","426","21.183","26.257"
"02/02/2022 12:00:00","11.2727272727273","12.2727272727273","19.0909090909091","414.090909090909","22.8763636363636","18.1663636363636"
"02/02/2022 13:00:00","11.3333333333333","12.3333333333333","25.9166666666667","408.5","24.5983333333333","16.1116666666667"
"02/02/2022 14:00:00","13.5833333333333","14.5833333333333","40.25","408.666666666667","25.6183333333333","18.4041666666667"
"02/02/2022 15:00:00","17.3333333333333","18.3333333333333","48","407.25","25.6333333333333","22.6333333333333"
"02/02/2022 16:00:00","47.8461538461538","49.3846153846154","45.6153846153846","406.307692307692","24.0038461538462","24.7407692307692"
"02/02/2022 17:00:00","71.8333333333333","73.8333333333333","48.75","394.166666666667","20.8791666666667","31.68"
"02/02/2022 18:00:00","61.3333333333333","63.1666666666667","51.9166666666667","402.583333333333","18.5775","37.5608333333333"
"02/02/2022 19:00:00","18.6666666666667","19.6666666666667","47.75","417.583333333333","17.1233333333333","42.6241666666667"
"02/02/2022 20:00:00","18.8333333333333","19.8333333333333","42.0833333333333","396","15.79","47.7066666666667"
"02/02/2022 21:00:00","19.75","20.75","38.3333333333333","388.083333333333","14.9858333333333","50.3575"
"02/02/2022 22:00:00","20.75","21.75","35.5833333333333","382.416666666667","14.5241666666667","49.6425"
"02/02/2022 23:00:00","17.6666666666667","18.6666666666667","25.9166666666667","373.333333333333","14.0191666666667","48.4916666666667"
